title,table_link,question,answer,isUnderReview,areas
Renaissance (band),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/0.csv,,,false,
Mischa Barton,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/1.csv,,,false,
Triple Crown of Thoroughbred Racing,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/3.csv,,,false,
1994 European Men's Handball Championship,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/4.csv,,,false,
Afrikaans,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/7.csv,,,false,
"Geauga County, Ohio",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/8.csv,,,false,
Oncogene,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/9.csv,,,false,
Aviation accidents and incidents,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/10.csv,,,false,
The French Connection (film),https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/11.csv,,,false,
Zoë Wanamaker,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/12.csv,,,false,
Bad Boy Records,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/14.csv,,,false,
Paul Reubens,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/15.csv,,,false,
Gladys Knight,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/17.csv,,,false,
"Yankton, South Dakota",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/18.csv,,,false,
Gary Ridgway,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/20.csv,,,false,
Mick Jagger,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/22.csv,,,false,
Kodachrome,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/24.csv,,,false,
BBC Radio,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/25.csv,,,false,
List of airports in France,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/26.csv,,,false,
"Stamford, Connecticut",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/28.csv,,,false,
Erik Nevland,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/29.csv,,,false,
Wilco,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/30.csv,,,false,
Roy Scheider,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/31.csv,,,false,
Muncie Flyers,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/32.csv,,,false,
Nara Prefecture,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/33.csv,,,false,
Silent Witness,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/34.csv,,,false,
"Mansfield, Connecticut",https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/35.csv,,,false,
Catherine Deneuve,https://raw.githubusercontent.com/ppasupat/WikiTableQuestions/master/csv/200-csv/36.csv,,,false,
